code,name,postal_code,sub_district_code
11.01.01.2001,KEUDE BAKONGAN,23773,11.01.01
11.01.01.2002,UJONG MANGKI,23773,11.01.01
11.01.01.2003,UJONG PADANG,23773,11.01.01
11.01.01.2004,GAMPONG DRIEN,23773,11.01.01
11.01.01.2015,DARUL IKHSAN,23773,11.01.01
11.01.01.2016,PADANG BEURAHAN,23773,11.01.01
11.01.01.2017,GAMPONG BARO,23773,11.01.01
11.01.02.2001,FAJAR HARAPAN,23771,11.01.02
11.01.02.2002,KRUENG BATEE,23771,11.01.02
11.01.02.2003,PASI KUALA ASAHAN,23771,11.01.02
11.01.02.2004,GUNONG PULO,23771,11.01.02
11.01.02.2005,PULO IE I,23771,11.01.02
11.01.02.2006,JAMBO MANYANG,23771,11.01.02
11.01.02.2007,SIMPANG EMPAT,23771,11.01.02
11.01.02.2008,LIMAU PURUT,23771,11.01.02
11.01.02.2009,PULO KAMBING,23771,11.01.02
11.01.02.2010,KAMPUNG PAYA,23771,11.01.02
11.01.02.2011,KRUENG BATU,23771,11.01.02
11.01.02.2012,KRUENG KLUET,23771,11.01.02
11.01.02.2013,ALUR MAS,23771,11.01.02
11.01.02.2014,KAMPUNG TINGGI,23771,11.01.02
11.01.02.2015,RUAK,23771,11.01.02
11.01.02.2016,SIMPANG LHEE,23771,11.01.02
11.01.02.2017,SUAQ GEURINGGENG,23771,11.01.02
11.01.02.2018,PASI KUALA BA'U,23771,11.01.02
11.01.02.2019,KEDAI PADANG,23771,11.01.02
11.01.02.2020,KOTAFAJAR,23771,11.01.02
11.01.02.2021,GUNUNG PUDUNG,23771,11.01.02
11.01.03.2001,SUAQ BAKUNG,23772,11.01.03
11.01.03.2002,RANTAU BINUANG,23772,11.01.03
11.01.03.2003,BARAT DAYA,23772,11.01.03
11.01.03.2004,SIALANG,23772,11.01.03
11.01.03.2005,KAPEH,23772,11.01.03
11.01.03.2006,PULO IE,23772,11.01.03
11.01.03.2007,KEDAI RUNDING,23772,11.01.03
11.01.03.2008,KEDAI KANDANG,23772,11.01.03
11.01.03.2009,GAMPONG LUAR,23772,11.01.03
11.01.03.2010,UJUNG,23772,11.01.03
11.01.03.2011,JUA,23772,11.01.03
11.01.03.2012,PASI MEURAPAT,23772,11.01.03
11.01.03.2013,UJUNG PASIR,23772,11.01.03
11.01.03.2014,GEULUMBUK,23772,11.01.03
11.01.03.2015,PASIE LEMBANG,23772,11.01.03
11.01.03.2016,UJUNG PADANG,23772,11.01.03
11.01.03.2017,INDRA DAMAI,23772,11.01.03
11.01.04.2001,BAKAU HULU,23761,11.01.04
11.01.04.2002,PADANG BAKAU,23761,11.01.04
11.01.04.2003,MANGGIS HARAPAN,23761,11.01.04
11.01.04.2004,PASAR LAMA,23761,11.01.04
11.01.04.2005,APHA,23761,11.01.04
11.01.04.2006,UJUNG BATU,23761,11.01.04
11.01.04.2007,PAWOH,23761,11.01.04
11.01.04.2008,DALAM,23761,11.01.04
11.01.04.2009,KOTA PALAK,23761,11.01.04
11.01.04.2010,CACANG,23761,11.01.04
11.01.04.2011,TENGAH PISANG,23761,11.01.04
11.01.04.2012,PISANG,23761,11.01.04
11.01.04.2013,HULU PISANG,23761,11.01.04
11.01.04.2014,TENGAH BARU,23761,11.01.04
11.01.04.2015,LEMBAH BARU,23761,11.01.04
11.01.04.2016,PADANG BARU,23761,11.01.04
11.01.05.2001,KUTA BULOH II,23754,11.01.05
11.01.05.2002,KUTA BULOH I,23754,11.01.05
11.01.05.2003,IE DINGEN,23754,11.01.05
11.01.05.2004,DRIEN JALO,23754,11.01.05
11.01.05.2005,JAMBO PAPEUN,23754,11.01.05
11.01.05.2006,BUKET MEUH,23754,11.01.05
11.01.05.2007,BLANG KUALA,23754,11.01.05
11.01.05.2008,ROT TEUNGOH,23754,11.01.05
11.01.05.2009,ALUE BARO,23754,11.01.05
11.01.05.2010,LADANG TUHA,23754,11.01.05
